Source,Target,Type,weight,series
ROCKET,THOR,Undirected,52,3
IRON MAN,DOCTOR STRANGE,Undirected,51,3
SPIDERMAN,IRON MAN,Undirected,44,3
THANOS,GAMORA,Undirected,40,3
STAR-LORD,GAMORA,Undirected,28,3
STAR-LORD,DRAX,Undirected,27,3
THOR,STAR-LORD,Undirected,24,3
STAR-LORD,IRON MAN,Undirected,20,3
DOCTOR STRANGE,THANOS,Undirected,19,3
STAR-LORD,ROCKET,Undirected,14,3
STAR-LORD,MANTIS,Undirected,12,3
NICK FURY,MARIA HILL,Undirected,12,3
DOCTOR STRANGE,WONG,Undirected,12,3
OKOYE,BLACK PANTHER,Undirected,10,3
BRUCE BANNER,BLACK WIDOW,Undirected,10,3
SECRETARY ROSS,JAMES RHODES,Undirected,10,3
THANOS,IRON MAN,Undirected,9,3
SPIDERMAN,STAR-LORD,Undirected,8,3
EBONY MAW,IRON MAN,Undirected,8,3
COLLECTOR,THANOS,Undirected,8,3
THANOS,STONEKEEPER,Undirected,8,3
MANTIS,DRAX,Undirected,8,3
IRON MAN,DRAX,Undirected,7,3
THANOS,LOKI,Undirected,7,3
THANOS,RED SKULL,Undirected,7,3
ROCKET,EITRI,Undirected,6,3
BUCKY BARNES,CAPTAIN AMERICA,Undirected,5,3
MANTIS,IRON MAN,Undirected,5,3
VISION,CAPTAIN AMERICA,Undirected,5,3
BRUCE BANNER,CAPTAIN AMERICA,Undirected,5,3
EBONY MAW,THANOS,Undirected,5,3
EBONY MAW,DOCTOR STRANGE,Undirected,5,3
WONG,BRUCE BANNER,Undirected,5,3
ROCKET,GAMORA,Undirected,4,3
BRUCE BANNER,HULK,Undirected,4,3
IRON MAN,FRIDAY,Undirected,4,3
BRUCE BANNER,JAMES RHODES,Undirected,4,3
EBONY MAW,GAMORA,Undirected,4,3
BLACK WIDOW,PROXIMA MIDNIGHT,Undirected,4,3
SHURI,BRUCE BANNER,Undirected,4,3
CAPTAIN AMERICA,BLACK WIDOW,Undirected,4,3
WANDA MAXIMOFF,BRUCE BANNER,Undirected,4,3
THOR,DRAX,Undirected,4,3
MANTIS,THOR,Undirected,4,3
FALCON,CAPTAIN AMERICA,Undirected,3,3
JAMES RHODES,FALCON,Undirected,3,3
CAPTAIN AMERICA,SECRETARY ROSS,Undirected,3,3
BLACK PANTHER,BUCKY BARNES,Undirected,3,3
NEBULA,GAMORA,Undirected,3,3
GAMORA,DRAX,Undirected,3,3
EBONY MAW,CULL OBSIDIAN,Undirected,3,3
FRIDAY,SPIDERMAN,Undirected,3,3
BRUCE BANNER,DOCTOR STRANGE,Undirected,3,3
THANOS,NEBULA,Undirected,3,3
THANOS,WANDA MAXIMOFF,Undirected,3,3
LOKI,THOR,Undirected,3,3
RED SKULL,GAMORA,Undirected,3,3
NEBULA,STAR-LORD,Undirected,2,3
SHURI,WANDA MAXIMOFF,Undirected,2,3
BLACK PANTHER,DOME CONTROL,Undirected,2,3
WONG,IRON MAN,Undirected,2,3
ROCKET,BUCKY BARNES,Undirected,2,3
BLACK PANTHER,SHURI,Undirected,2,3
OKOYE,FALCON,Undirected,2,3
BLACK WIDOW,BLACK PANTHER,Undirected,2,3
CAPTAIN AMERICA,THOR,Undirected,2,3
BLACK WIDOW,VISION,Undirected,2,3
BLACK PANTHER,CAPTAIN AMERICA,Undirected,2,3
SHURI,CAPTAIN AMERICA,Undirected,2,3
BLACK PANTHER,M'BAKU,Undirected,2,3
STAR-LORD,GROOT,Undirected,2,3
ROCKET,MANTIS,Undirected,2,3
SECRETARY ROSS,BLACK WIDOW,Undirected,2,3
FALCON,BRUCE BANNER,Undirected,2,3
WANDA MAXIMOFF,PROXIMA MIDNIGHT,Undirected,2,3
THANOS,DRAX,Undirected,2,3
FRIDAY,PEPPER,Undirected,2,3
WANDA MAXIMOFF,CORVUS GLAIVE,Undirected,2,3
M'BAKU,OKOYE,Undirected,1,3
NEBULA,JAMES RHODES,Undirected,1,3
PROXIMA MIDNIGHT,CAPTAIN AMERICA,Undirected,1,3
CAPTAIN AMERICA,OKOYE,Undirected,1,3
ROCKET,JAMES RHODES,Undirected,1,3
BLACK WIDOW,OKOYE,Undirected,1,3
BUCKY BARNES,BLACK WIDOW,Undirected,1,3
BLACK PANTHER,PROXIMA MIDNIGHT,Undirected,1,3
SPIDERMAN,NEBULA,Undirected,1,3
BRUCE BANNER,THOR,Undirected,1,3
OKOYE,GROOT,Undirected,1,3
LOKI,EBONY MAW,Undirected,1,3
WANDA MAXIMOFF,THOR,Undirected,1,3
SPIDERMAN,THANOS,Undirected,1,3
VISION,THANOS,Undirected,1,3
DRAX,NEBULA,Undirected,1,3
M'BAKU,JABARI WARRIORS,Undirected,1,3
CORVUS GLAIVE,CAPTAIN AMERICA,Undirected,1,3
BRUCE BANNER,CORVUS GLAIVE,Undirected,1,3
NEBULA,IRON MAN,Undirected,1,3
PROXIMA MIDNIGHT,BRUCE BANNER,Undirected,1,3
