Source,Target,Type,weight,series
TONY STARK,BRUCE BANNER,Undirected,56,2
NATASHA ROMANOFF,STEVE ROGERS,Undirected,27,2
CLINT BARTON,LAURA BARTON,Undirected,23,2
TONY STARK,NICK FURY,Undirected,22,2
THOR,STEVE ROGERS,Undirected,21,2
WANDA MAXIMOFF,ULTRON,Undirected,20,2
STEVE ROGERS,BRUCE BANNER,Undirected,19,2
JAMES RHODES,TONY STARK,Undirected,18,2
STEVE ROGERS,CLINT BARTON,Undirected,18,2
PIETRO MAXIMOFF,WANDA MAXIMOFF,Undirected,17,2
ULTRON,JARVIS,Undirected,17,2
STEVE ROGERS,MARIA HILL,Undirected,16,2
ULTRON,STEVE ROGERS,Undirected,15,2
VISION,ULTRON,Undirected,13,2
ULTRON,PIETRO MAXIMOFF,Undirected,13,2
STEVE ROGERS,WANDA MAXIMOFF,Undirected,13,2
NICK FURY,NATASHA ROMANOFF,Undirected,12,2
MARIA HILL,TONY STARK,Undirected,11,2
ULTRON,DR. HELEN CHO,Undirected,11,2
ULTRON,THOR,Undirected,9,2
NICK FURY,STEVE ROGERS,Undirected,9,2
BRUCE BANNER,CLINT BARTON,Undirected,8,2
STEVE ROGERS,PIETRO MAXIMOFF,Undirected,8,2
VISION,STEVE ROGERS,Undirected,7,2
STRUCKER,DR. LIST,Undirected,7,2
ULTRON,ULYSSES KLAUE,Undirected,7,2
JAMES RHODES,THOR,Undirected,7,2
CLINT BARTON,THOR,Undirected,6,2
ERIK SELVIG,THOR,Undirected,6,2
STEVE ROGERS,DR. HELEN CHO,Undirected,6,2
SAM WILSON,STEVE ROGERS,Undirected,6,2
ULTRON,BRUCE BANNER,Undirected,6,2
STEVE ROGERS,STRUCKER,Undirected,6,2
STRUCKER,FORTRESS SOLDIER,Undirected,6,2
WANDA MAXIMOFF,CLINT BARTON,Undirected,6,2
MARIA HILL,JAMES RHODES,Undirected,6,2
NATASHA ROMANOFF,MADAME B,Undirected,5,2
THOR,BRUCE BANNER,Undirected,5,2
THOR,VISION,Undirected,4,2
LAURA BARTON,NATASHA ROMANOFF,Undirected,4,2
DR. HELEN CHO,TONY STARK,Undirected,4,2
VISION,TONY STARK,Undirected,3,2
VISION,CLINT BARTON,Undirected,3,2
ULYSSES KLAUE,KLAUE'S MERCENARY,Undirected,3,2
VISION,WANDA MAXIMOFF,Undirected,3,2
TONY STARK,PIETRO MAXIMOFF,Undirected,3,2
MARIA HILL,SPECIALIST CAMERON KLEIN,Undirected,3,2
NATASHA ROMANOFF,FRIDAY,Undirected,3,2
CLINT BARTON,MARIA HILL,Undirected,3,2
CLINT BARTON,LILA BARTON,Undirected,3,2
TONY STARK,WANDA MAXIMOFF,Undirected,3,2
NICK FURY,MARIA HILL,Undirected,3,2
THOR,STAN LEE,Undirected,3,2
HEIMDALL,THOR,Undirected,3,2
WANDA MAXIMOFF,BRUCE BANNER,Undirected,3,2
BRUCE BANNER,JARVIS,Undirected,3,2
DR. HELEN CHO,BRUCE BANNER,Undirected,3,2
DR. HELEN CHO,WANDA MAXIMOFF,Undirected,3,2
BRUCE BANNER,VISION,Undirected,3,2
LAURA BARTON,TONY STARK,Undirected,2,2
PEGGY CARTER,THOR,Undirected,2,2
CLINT BARTON,NICK FURY,Undirected,2,2
BRUCE BANNER,NICK FURY,Undirected,2,2
ULTRON,NATASHA ROMANOFF,Undirected,2,2
PEGGY CARTER,HEIMDALL,Undirected,2,2
ULYSSES KLAUE,WANDA MAXIMOFF,Undirected,2,2
STRUCKER,SOLDIERS,Undirected,2,2
TONY STARK,FORTRESS SOLDIER,Undirected,2,2
NATASHA ROMANOFF,DR. HELEN CHO,Undirected,2,2
DR. HELEN CHO,CLINT BARTON,Undirected,2,2
TONY STARK,WORLD HUB TECH,Undirected,2,2
CLINT BARTON,PIETRO MAXIMOFF,Undirected,2,2
JAMES RHODES,CLINT BARTON,Undirected,2,2
NATASHA ROMANOFF,JAMES RHODES,Undirected,2,2
STEVE ROGERS,FRIDAY,Undirected,2,2
SPECIALIST CAMERON KLEIN,PIETRO MAXIMOFF,Undirected,1,2
CLINT BARTON,SPECIALIST CAMERON KLEIN,Undirected,1,2
SPECIALIST CAMERON KLEIN,ULTRON,Undirected,1,2
TONY STARK,HEIMDALL,Undirected,1,2
WANDA MAXIMOFF,FRIDAY,Undirected,1,2
NATASHA ROMANOFF,ZRINKA,Undirected,1,2
ZRINKA,TONY STARK,Undirected,1,2
ERIK SELVIG,ULTRON,Undirected,1,2
HEIMDALL,ERIK SELVIG,Undirected,1,2
JAMES RHODES,STEVE ROGERS,Undirected,1,2
STEVE ROGERS,JARVIS,Undirected,1,2
ERIK SELVIG,TONY STARK,Undirected,1,2
IRON LEGION,CLINT BARTON,Undirected,1,2
DR. LIST,PIETRO MAXIMOFF,Undirected,1,2
PIETRO MAXIMOFF,NATASHA ROMANOFF,Undirected,1,2
JARVIS,NATASHA ROMANOFF,Undirected,1,2
JARVIS,JAMES RHODES,Undirected,1,2
THOR,MARIA HILL,Undirected,1,2
THOR,SAM WILSON,Undirected,1,2
SAM WILSON,JAMES RHODES,Undirected,1,2
PARTY GUEST,THOR,Undirected,1,2
STAN LEE,BRUCE BANNER,Undirected,1,2
NATASHA ROMANOFF,MARIA HILL,Undirected,1,2
STEVE ROGERS,IRON LEGION,Undirected,1,2
DR. HELEN CHO,THOR,Undirected,1,2
CLINT BARTON,ERIK SELVIG,Undirected,1,2
STEVE ROGERS,ULYSSES KLAUE,Undirected,1,2
JARVIS,THOR,Undirected,1,2
KLAUE'S MERCENARY,STEVE ROGERS,Undirected,1,2
CLINT BARTON,BALLET INSTRUCTOR,Undirected,1,2
BALLET INSTRUCTOR,NATASHA ROMANOFF,Undirected,1,2
MADAME B,PEGGY CARTER,Undirected,1,2
MADAME B,PIETRO MAXIMOFF,Undirected,1,2
LILA BARTON,NATASHA ROMANOFF,Undirected,1,2
PEGGY CARTER,CLINT BARTON,Undirected,1,2
STEVE ROGERS,LAURA BARTON,Undirected,1,2
ERIK SELVIG,NICK FURY,Undirected,1,2
NATASHA ROMANOFF,VISION,Undirected,1,2
