Source,Target,Type,weight,series
ROCKET,THOR,Undirected,52,3
TONY STARK,DOCTOR STRANGE,Undirected,51,3
PETER PARKER,TONY STARK,Undirected,44,3
THANOS,GAMORA,Undirected,40,3
PETER QUILL,GAMORA,Undirected,28,3
PETER QUILL,DRAX,Undirected,27,3
THOR,PETER QUILL,Undirected,24,3
PETER QUILL,TONY STARK,Undirected,20,3
DOCTOR STRANGE,THANOS,Undirected,19,3
PETER QUILL,ROCKET,Undirected,14,3
PETER QUILL,MANTIS,Undirected,12,3
NICK FURY,MARIA HILL,Undirected,12,3
DOCTOR STRANGE,WONG,Undirected,12,3
OKOYE,T'CHALLA,Undirected,10,3
BRUCE BANNER,NATASHA ROMANOFF,Undirected,10,3
SECRETARY ROSS,JAMES RHODES,Undirected,10,3
THANOS,TONY STARK,Undirected,9,3
PETER PARKER,PETER QUILL,Undirected,8,3
EBONY MAW,TONY STARK,Undirected,8,3
COLLECTOR,THANOS,Undirected,8,3
THANOS,STONEKEEPER,Undirected,8,3
MANTIS,DRAX,Undirected,8,3
TONY STARK,DRAX,Undirected,7,3
THANOS,LOKI,Undirected,7,3
THANOS,RED SKULL,Undirected,7,3
ROCKET,EITRI,Undirected,6,3
BUCKY BARNES,STEVE ROGERS,Undirected,5,3
MANTIS,TONY STARK,Undirected,5,3
VISION,STEVE ROGERS,Undirected,5,3
BRUCE BANNER,STEVE ROGERS,Undirected,5,3
EBONY MAW,THANOS,Undirected,5,3
EBONY MAW,DOCTOR STRANGE,Undirected,5,3
WONG,BRUCE BANNER,Undirected,5,3
NATASHA ROMANOFF,PROXIMA MIDNIGHT,Undirected,4,3
BRUCE BANNER,JAMES RHODES,Undirected,4,3
WANDA MAXIMOFF,BRUCE BANNER,Undirected,4,3
TONY STARK,FRIDAY,Undirected,4,3
SHURI,BRUCE BANNER,Undirected,4,3
EBONY MAW,GAMORA,Undirected,4,3
STEVE ROGERS,NATASHA ROMANOFF,Undirected,4,3
ROCKET,GAMORA,Undirected,4,3
MANTIS,THOR,Undirected,4,3
THOR,DRAX,Undirected,4,3
NEBULA,GAMORA,Undirected,3,3
EBONY MAW,CULL OBSIDIAN,Undirected,3,3
THANOS,NEBULA,Undirected,3,3
RED SKULL,GAMORA,Undirected,3,3
JAMES RHODES,SAM WILSON,Undirected,3,3
LOKI,THOR,Undirected,3,3
BRUCE BANNER,DOCTOR STRANGE,Undirected,3,3
THANOS,WANDA MAXIMOFF,Undirected,3,3
FRIDAY,PETER PARKER,Undirected,3,3
T'CHALLA,BUCKY BARNES,Undirected,3,3
SAM WILSON,STEVE ROGERS,Undirected,3,3
STEVE ROGERS,SECRETARY ROSS,Undirected,3,3
GAMORA,DRAX,Undirected,3,3
WANDA MAXIMOFF,CORVUS GLAIVE,Undirected,2,3
WONG,TONY STARK,Undirected,2,3
NATASHA ROMANOFF,VISION,Undirected,2,3
ROCKET,BUCKY BARNES,Undirected,2,3
STEVE ROGERS,THOR,Undirected,2,3
FRIDAY,PEPPER POTTS,Undirected,2,3
